id,질문,내용
번호 147,정남방향 일조권 적용시 정북방향 대지소유자의 합의,"질의 :건축물의 일부가 정북방향의 일조기준에 저촉되는 경우, 저촉되는 부분의 인접대지소유자와 합의하여 동 부분에 대하여만 정남방향으로 일조권을 적용할 수 있는지 여부 ?답변 :건축법 제53조제3항의 규정에 의하여 같은법시행령 제86조제3항 및 제4항의 규정에 의한 높이를 고시 등의  절차를 거친 대지에 대하여 같은법 제53조제3항제10호의 규정에 의하여 정북방향으로 접하고 있는 대지의 소유자와 합의한 경우에는 건축물의 높이를 정남방향의 인접대지경계선으로부터 띄어 건축할 수 있도록 일조기준을 적용할 수 있는 것임.정남방향으로 일조기준을 모두 적용하고자 하는 경우에는 건축법시행령 제86조제1항의 규정에 의한 정북방향으로의 일조권을 적용하지 아니할 부분의 대지주와 합의한 경우를 말하는 것이므로 정북방향으로 모든 대지 소유주를 말하는 것이 아닌 것입니다."
번호 146,건축물의 용도분류와 관련된 업무처리 방법 알림,"1) 근래 건축법령은 규제개혁 차원에서 건축기준의 폐지 또는 완화와 용도변경의 간소화등 대국민의 불편사항을 대폭 개선한바 있습니다.2) 그러나 용도변경의 신고절차가 없다하여 건축기준 마저 지키지 않아도 되는 것이므로 오해하는 등 건축물의 용도와 관련된 위법사례가 빈번히 발생하고 있어, 다음과 같이 건축물의 용도와 관련된 지침을 시달하니, 업무추진에 만전을 기하여 주시기 바랍니다.가) 오피스텔은 건축법시행령 별표1에 의한 용도분류상 업무시설이므로 동 오피스텔의 건축기준인 건교부고시 1998-161(98.6.8)에 의한 기준에 적합하여야 하며, 오피스텔의 분양등을 위한 공고시에는 “주용도는 업무시설이며 부수적으로 일부 숙식이 가능하다는 사실을 명기”토록 하여 선의의 피해자 발생 방지.나) 고시원은 독서실(학원의 설립？운영에 관한 법률에 의한 독서실)의 형태로 운영되는 것은 제2종 근린생활시설로 분류하되, 고시원을 실별로 구획하여 개별 화장실 및 취사시설을 설치하는 경우에는 건축법시행령 [별표1] 단독주택인 다중 및 다가구주택으로 구분하되, 동 규모를 초과하는 경우 공동주택(다세대,연립,아파트)으로 구분할 것.다) 원룸주택의 용도분류는 건축법 시행령[별표1]의 단독주택(다중,다가구) 또는 이를 분양하는 경우에는 규모등에 따라 공동주택(다세대,연립,아파트)으로 구분할 것.라) 다가구 및 다세대주택의 상부층에 근린생활시설(사무소 등)을 설치하는 경우 주택으로 무단 용도변경될 소지가 높으므로, 이러한 건축물을 주거환경등을 감안하여 별도의 계단으로 분리토록 행정지도 할 것."
번호 145,"다세대, 연립, 아파트의 구분","질의 :지상 6층인 건축물중 1층은 근린생활시설 및 피로티 구조인 주차장이고 2층은 근린생활시설, 3～6층은 다세대주택으로 계획하고자 하는 경우, 이를 다세대주택으로 인정할 수 있는지 여부?답변 :건축법시행령 [별표1] 제2호다목의 규정에 의하여 다세대주택은 주택으로 쓰이는 1개 동의 연면적(지하주차장 면적을 제외한다)이 660제곱미터 이하이고, 층수가 4개층 이하인 주택을 말하는 것으로서, 동시행령 [별표1] 제2호 본문의 규정에 의하여 공동주택을 구분하기 위한 층수 산정에 있어서 1층 전부를 피로티구조로 하여 주차장으로 사용하는 경우에는 피로티부분을 층수에서 제외토록하고 있는바,- 질의의 경우와 같이 1층이 근린생활시설 및 주차장의 용도로 구분되어 있으며, 주차장이 근린생활시설 및 주택의 부속용도로 사용되는 경우에는 주택으로 사용되는 부분이 5개층이 되어 아파트로 구분되어야 할 것이니, 보다 구체적인 사항은 상세한 자료를 갖추어 당해 허가권자에게 문의 바랍니다."
번호 144,기숙사와 단독주택의 복합시 건축법상 용도,"질의 :학교주변의 일반주거지역에 기숙사 용도와 단독주택 용도의 건축물(1~4층 기숙사, 지상 5,6층 단독주택)의 경우 건축법령상 기숙사의 용도로 볼 수 있는지 여부?답변 :건축법시행령 제3조의 2 관련 별표1 제2호 라목의 규정에 의하여 ""기숙사""는 학교 또는 공장등의 학생 또는 종업원등을 위하여 사용되는 것으로서 공동취사등을 할 수 있는 구조로서 독립된 주거의 형태를 갖추지 아니한 것을 말하는 것으로서 기숙사를 상기 규정에 의한 용도대로 사용하지 아니하고 임대 또는 영업의 목적으로 건축하는 경우에는 이는 기숙사로 볼 수 없는 것임을 알려드립니다."
번호 143,일조권 적용 시 인접대지 지표면 산정방법,
번호 142,발코니 간이 화단의 면적산정 기준,
번호 141,공동주택 전용면적 산정방법,
번호 140,종합병원 내 장례식장 설치가능 여부,
번호 139,공동 및 다가구주택의 1층 일부가 주차장인 경우 주택의 개층,
번호 138,토지경매 진행 중 건축주 명의변경 가능여부,
번호 137,일조기준 적용 시 직각방향 또는 최단거리 여부,"질의 :건축물이 대지경계선에 평행하지 않게 배치되어 채광방향이 다른 경우 일조확보를 위한 건축물의 높이제한 적용 시 건축물로부터 인접대지경계선까지 띄워야 할 거리는 채광을 위한 창문 등이 있는 벽면으로부터 직각방향의 거리인지 아니면 최단거리인 사선방향의 거리인지 여부답변 :건축법 제86조 제2항 및 서울시 건축조례 제29조 제2항의 규정에 의하여 건축물의 각 부분의 높이는 그 부분으로부터 채광을 위한 창문(창넓이가 세대당 0.5㎡ 이상의 창을 말함) 등이 있는 벽면으로부터 직각방향으로의 인접대지 경계선까지의 수평거리의 2배 이하로 하도록 하고 있습니다.따라서, 채광방향 일조규정 적용 시 수평거리 기준은 채광을 위한 창문 등이 향하는 명각부분으로부터 직각방향의 인접대지경계선까지의 거리를 말하는 것입니다."
번호 136,하나의 발코니 사이에 내력벽을 축조하여 분리시킨 경우 발코니 인정 여부,"각각의 분리된 부분이 건축법 시행령 제2조제1항제15호의 규정에 적합한 경우에는 발코니로 볼 수 있을 것이며, ""발코니 등의 구조변경절차 및 설치기준""에 적합한 경우 고조 변경을 할 수 있는 것입니다."
번호 135,다가구주택의 기숙사 용도변경 불가,"질의 :기존 다가구주택을 학생들이 거주하는 기숙사로 개조하여 영업을 하고자 할 경우 용도변경 가능 여부답변 :건축법 시행령 제3조의2 관련 <별표1> 제2호 ""라""목의 규정에 의하여 ""기숙사""는 학교 또는 공장 등의 학생 또는 종업원 등을 위하여 사용되는 것으로서 공동 취사 등을 할 수 있는 구조로서 독립된 주거의 형태를 갖추지 아니하는 것인 바, 기숙사를 상기 규정에 의한 구조형태가 아니거나 학교 또는 공장 등에서 당해 학생 또는 종업원 등에게 이용되지 아니한 것으로서 임대 또는 영업의 목적으로 사용하는 경우에는 이를 기숙사로 볼 수 없는 것이므로 질의의 경우와 같이 다가구주택을 개인이 영업의 목적으로 하는 기숙사로 용도변경 하는 것은 불가합니다."
번호 134,현행법에 부적합한 건축법 제정 이전 건축물에 대한 증·개축 가능 여부,"질의 :건축법 제정시행 전에 건축된 건축물로서 건축물대장상에 등재되어 있으나, 대지가 도로에 접하지 아니하며 건축법 제33조의 규정에 부적합한 경우 동 법 제5조의2(기존의 건축물 등에 대한 특례)의 구정을 적용 받아 증·개축이 가능한지 여부답변 :질의의 건축물이 건축법령 제정 전에 건축된 건축물로서 동 건축물의 대지가 도로에 접하지 아니하며 건축법령상 부적합한 경우라도 건축법 제5조의2(기존의 건축물 등에 대한 특례) 및 동법 시행령 제6조의2의 규정에 의하여 증·개축 하고자 하는 부분이 법령 등의 규정에 적합한 경우에 한하여 당해 지방자치단체의 조례가 정하는 바에 따라 증·개축이 가능할 것임"
번호 133,신고대상 건축물이 건축 중 증축으로 건축허가 대상이 되는 경우 처리 절차,"질의 :건축신고대상 규모의 건축물을 건축 중 증축을 위한 설계변경을 함으로써 동 건축물의 규모가 건축허가 대상이 되는 경우 건축법령상 절차는?답변 :귀 문의의 경우가 신고대상 건축물의 건축 중 증축을 함으로써 건축허가대상 건축물이 되는 것이라면 건축법령에 의한 허가신청시 필요한 설계도서 등을 제출하고, 건축사가 동 건축물에 대한 설계 및 감리를 하여야 할 것이며 기타 관계법령에서 허가대상 건축물에 대하여 적용하는 규정 및 절차 등을 이행하여야 할 것으로 사료됩니다."
번호 132,2개의 행정구역에 걸친 경우의 건축허가,"질의 : 하나의 대지가 두 개의 행정구역에 걸치는 경우 각 행정기관에 각각 건축허가를 신청하여야 하는지 여부
답변 : 두 개 이상의 행정구역에 걸쳐있는 하나의 대지에 건축물을 건축하는 경우에는 당해 대지의 과반이 속하는 행정구역의 건축허가권자에게 건축허가를 신청하고, 당해 허가권자는 타 행정구역의 허가권자와 협의 후 처리하여야 할 것입니다."
번호 131,타위원회의 심의를 받는 경우에도 도시디자인심의를 받아야 하나요?,"아닙니다.건축심의대상 및 일괄입찰·대안입찰 방식으로 설계된 건축물, 공원심의대상은 제외됩니다."
번호 130,운영지침 등에 임의로 심의대상을 정하여 심의할 수 있는 지 여부,"질의 : 지방건축위원회에서 「건축법」제4조 및 같은 법 시행령 제5조에서 정한 건축위원회 심의 사항 이외에 이 법 및 다른 법령에서 정하지 아니한 “부설주차장 추가 설치”에 관한 내용을 건축심의 운영지침 등으로 임의로 정하여 심의할 수 있는지 여부
답변 :지방건축위원회에서 심의할 수 있는 사항은 「건축법」 제4조 제1항 및 같은 법 시행령 제5조에서 정한 것에 한하며, 그 이외의 사항은 심의대상에 해당하지 않습니다."
번호 129,옥상에 설치된 물탱크를 주택의 용도로 무단으로 사용한 경우 이행강제금 산정 문의,
번호 128,주상복합건축물의 전용면적 및 공용면적 산정방법,"질의 :
가.「건축법」제8조에 따라 건축허가를 받는 공동주택(다세대주택, 연립주택, 20세대 이상 주상복합건물)의 전용 및 공용면적 산정방법은 주택법 시행규칙 제2조 및 주택공급에 관한 규칙 제8조를 따라야 하는 지?나. 주택법 시행규칙 제2조에 따라 공동주택의 전용면적 산정방법은 외벽의 내부선을 기준토록 하고 있으나, 2호 조합 이상으로 구성된 공동주택의 세대간 경계벽을 외벽으로 볼 수 있는 지?
답변 :
가. 주택법에서 공동주택(건축법 시행령 별표1 제2호 가목 내지 나목에 한함)에 대한 주거전용면적 산정방법을 같은 법 시행규칙 제2조 제2항 제2호에 규정하고 있음. 주택법령에서 동 규정의 적용대상을 달리 규정하고 있지는 않으나, 주택법에 의거 사업계획승인을 받아 건설·공급하는 공동주택에 대해서는 동 규정이 적용되는 것으로 판단되며,건축법 제8조의 규정에 의한 허가를 받는 건축물에 대하여 건축법령의 기준을 적용함에 있어서 면적 등 건축물의 규모는 동법 시행령 제119조의 규정에 의하여 산정하여야 하는 것이나, 공동주택의 전용면적 및 공용면적의 산정은 주택법시행규칙 제2조의 규정을 준용하여 산정하는 것이 타당할 것으로 판단됩니다.
나. 위 기준에 의한 공동주택의 세대별 주거전용면적을 산정할 경우 외벽은 세대와 세대 또는 세대와 외부를 경계하는 벽으로 보아 산정함이 타당합니다. (법 제8조 ⇒ 제11조, 2008. 3. 21.)"
번호 127,1층에 필로티 설치시 일조권 높이제한 제외 여부,"질의 : 건축물의 1층에 필로티와 근린생활시설이 설치되어 있는 경우에 일조권 산정높이에서 제외할 수 있는 것인지 여부
답변 :건축법시행령 제119조 제1항 제5호의 규정에 의하여 건축물의 1층 전체에 필로티가 설치되어 있는 경우에는 제82조 및 제86조 제2항의 규정을 적용하는 경우에 한하여 필로티의 층고를 제외한 높이를 건축물의 높이로 하는 것이나, 위 질의의 경우처럼 1층에 필로티와 근린생활시설을 복합용도로 사용하는 경우에는 1층 층고높이도 포함하는 것임을 알려드립니다."
번호 126,건축물의 용도분류 시 “당해 용도에 쓰이는 바닥면적의 합계”에 공용부분이 산정 여부,"“당해 용도에 쓰이는 바닥면적의 합계”에는 주된 용도에 부수되는 공용부분(복도·계단·화장실 등)의 면적이 공용비율에 따라 포함되는 것이나, 지하주차장 등의 면적은 제외되는 것임을 알려드립니다."
번호 125,층간 방화구획을 하지 않을 수 있는지 여부?,"「건축물의 피난·방화구조 등의 기준에 관한 규칙」제14조 제1항 제2호 규정에 따라 3층 이상의 층과 지하층은 층마다 구획하여야 하는 것으로, 「건축법 시행령」제46조 제2항 제6호 규정에 따라 주요구조부가 내화구조 또는 불연재료로 된 주차장의 부분은 동조 제1항의 규정을 완화받을 수 있는 것이나, 램프 및 통로 등이 건축물의 다른 부분과 방화구획된 경우에 한하여 완화받을 수 있는 것입니다."
번호 124,1층 피로티 층수산정 포함여부,"질의 : 제1종일반주거지역 안에서는 4층 이하의 건축물에 한하여 건축할 수 있는 바, 다세대주택의 1층 전부가 주차장으로 사용하는 피로티 구조로 되어 있는 경우 위 4층 이하의 건축제한을 적용함에 있어 위 1층 피로티 부분이 층수산정에 포함되는지?
답변 :제1종일반주거지역 안에서 다세대주택을 건축하고자 하는 경우 1층 전부가 주차장으로 사용하는 피로티 구조라 하더라도 이러한 1층도 제1종일반주거지역 안에서의 층수에 포함되므로, 이를 포함한 4층 이하의 건축물만 허용된다고 할 것입니다."
번호 123,"""건축물의 건축 등을 위한 설계”에 해당하는지 여부","질의 : 건축물에 포함되는 폐쇄회로텔레비전(CCTV)·방송설비·구내통신·주배선반(MDF)·무선랜·주차관제 등의 설계가 「건축사법」 제4조제1항의 “건축물의 건축 등을 위한 설계”에 해당하는지 여부
답변 :
- 건축사법 제4조제1항에서는 「건축법」 제19조제1항의 규정에 의한 건축물의 건축 등을 위한 설계는 건축사가 할 수있도록 규정하고 있습니다.- 이와 관련하여「건축법」 제2조제1항제3호에서는 건축물에 설치하는 전기·전화·초고속 정보통신·지능형 홈네트워크·가스·급수·배수(配水)·배수(排水)·환기·난방·소화·배연 및 오물처리의 설비와 굴뚝·승강기·피뢰침·국기게양대·공동시청안테나·유선방송수신시설·우편물수취함을 건축설비로 정의하고 있으며 이 경우 건축물에 설치되는 CCTV·방송설비·구내통신·MDF·무선랜·주차관제 등은 위 규정에 의하여 건축설비에 해당하는 것으로 보아야 할것입니다.- 또한, 동법 제2조제1항제12호에서 “건축물의 건축 등”에 해당하는 것을 건축물의 건축·대수선·용도변경, 건축설비의 설치 또는 공작물의 축조로 규정하고 있습니다.- 따라서, 건축물에 포함되는 CCTV·방송설비·구내통신·MDF·무선랜·주차관제 등의 설치를 위한 설계는 건축설비의 설치를 위한 설계로서 건축사법 제4조제1항의 “건축물의 건축 등을 위한 설계”에 해당하는 것으로 보아야 할 것입니다."
번호 122,주택 발코니의 건축면적의 산정방법은?,"건축법 시행령 제119조 제1항 제2호에 따라 건축면적은 건축물(지표면으로부터 1미터이하에 있는 부분 제외)의 외벽(외벽이 없는 경우에는 외곽부분의 기둥을 말함)의 중심선[처마, 차양, 부연 그 밖에 이와 유사한 것으로서 당해 외벽의 중심선으로부터 수평거리 1미터(한옥의 경우에는 2미터) 이상 돌출된 부분이 있는 경우에는 그 끝부분으로부터 수평거리 1미터(한옥의 경우에는 2미터)를 후퇴한 선]으로 둘러싸인 부분의 수평투영면적으로 하는 바,발코니의 경우에 있어서도 발코니의 난간벽 등의 중심선으로 둘러싸인 부분으로 건축면적을 건축면적을 산정하여야 할 것으로 판단됩니다."
번호 121,위반건축물의 사용승인 여부,"질의 : 상가용 집합건축물의 A점포 소유자(갑)가 용도변경 허가를 받아 공사를 진행 중에 B점포 소유자(을)가 집합건축물의 주차장 일부를 무단으로 용도변경한 행위에 대하여 시정지시를 하였으나 시정조치가 되지 않은 상태인 경우, 갑이 신청한 용도변경에 대하여 사용 승인을 할 수 있는 지 여부
답변 :"
번호 120,주동의 평면이 Y자형과 유사한 공동주택에서 일조권 적용 여부,"질의 : 주동의 평면이 Y자형과 유사한 공동주택에서 중앙부분 복도의 벽부분과 단위세대의 측벽 및 발코니 측벽이 마주보고 있는 경우에도 건축법 시행령 제86조제2항제2호의 규정을 적용할 수 있는 지
답변 :건축법 시행령 제86조 제2항 제2호의 규정은 동일한 대지 안에서 2동 이상의 건축물이 서로 마주보고 있는 경우(1동의 건축물의 각 부분이 서로 마주보고 있는 경우를 포함함) 공동주택 단위세대의 일조, 채광, 사생활보호 등을 위하여 건축물의 각 부분간 거리를 띄어 건축하도록 한 규정으로,1동의 건축물의 각 부분이 서로 마주보고 있는 경우에도 건축물 각 부분 사이의 거리를 건축법 시행령 제86조제2항제2호 각 목의 거리 이상을 띄어 건축하거나 당해 대지 안의 모든 세대가 동지일을 기준으로 9시에서 15시 사이에 2시간 이상을 계속하여 일조를 확보할 수 있는 거리 이상으로 띄어 건축하여야 할 것입니다.다만, 1동의 건축물의 각 부분이 서로 마주보고 있으나 각 부분의 형태(채광창 설치여부), 건축물의 방위, 대지 내 건축물의 위치 등에 의하여 단위세대의 일조, 채광, 사생활보호 등에 지장이 없다고 인정되는 부분에 대하여 위 규정을 적용하는 것이 극히 불합리하다고 판단되는 경우에는 그러하지 아니하여도 될 것으로 사료됩니다."
번호 119,기존건축물 용도변경 시 건축허가 제한 관련,"질의 : 건축법 제18조 규정에 따른 건축허가 제한이 된 경우, 기존건축물의 용도를 변경(단독주택→다가구주택)하고자 하는 경우 허가제한 대상인지 여부
답변 :건축법」제18조에 따라 시, 도지사는 지역계획이나 도시계획에 특히 필요하다고 인정하면 건축허가나 허가를 받은 건축물의 착공을 제한할 수 있습니다.또한, 동법 제19조에서 제18조를 준용하고 있음에 따라 상기 사유에 해당하는 경우라면 용도변경의 제한도 가능할 것으로 생각되며, 구체적인 허가제한내용 등에 관하여는 금천구청 건축과에 문의하여 주시기 바랍니다."
번호 118,책임감리원의 배치기준에 기술지원감리원의 감리경력도 포함되는지 여부,「건설기술관리법 시행규칙」 제60조 각 호에 따른 책임감리원의 경력 및 배치기준에는 기술지원감리원의 감리경력도 포함됨을 알려드립니다.
번호 117,1인 소유 대지에 여러명이 건축허가 받을 수 있는지,"「건축법」제11조에 따른 건축허가는 하나의 대지에 하나의 건축허가만 가능함에 따라 15인이 건축허가를 받고자 하는 경우에는 현재 하나의 대지를 각각 분할하여야만 건축허가 신청이 가능할 것으로 사료되고,각각의 대지에 건축허가를 신청하고자 하는 경우에는 같은 법 시행규칙 제6조제1항에 따라 건축할 대지의 범위와 그 대지의 소유 또는 사용에 관한 권리를 증명하는 서류를 제출하도록 하고 있음을 알려드립니다."
번호 116,도시계획시설예정지 내 가설건축물에 약국을 등록.개설할 수 있는 지 여부,"가설건축물은 임시적, 한시적으로 사용하기 위한 건축물이며 존치기간이 만료되면 철거하여야 하는 것으로써「건축법」 제20조제1항에 따라 도시계획시설 또는 도시계획시설예정지에 가설건축물을 건축하는 경우에는 「국토의 계획 및 이용에 관한 법률」제64조에 적합하여야 하고, 3층 이하로서 같은 법 시행령 제15조제1항 각호의 기준의 범위에서 조례로 정하는 바에 따라 특별자치도지사 또는 시장·군수·구청장의 허가를 받아야 합니다.다만, 건축법령에서는 영업허가 등에 대하여 별도로 규정하고 있지 아니한 바, 질의의 시설이 가설건축물에 해당하는 지 여부는 상기규정에 따른 법령취지나 조례 등으로 규정하고 있는 사항, 구조, 규모, 관계법령 등을 종합.검토하여 허가권자가 판단하여야 할 것으로 사료됩니다."
번호 115,설계변경에 대한 건축허가 변경시기에 대한 질의,"질의 : 건축허가를 받아 흙막이 공사중 지하구조물 기둥 구조를 변경(철근콘크리트 → 철골철근콘크리트, 철골철근콘크리트 → 철근콘크리트)하여 시공하려는 경우 「건축법」 제16조 제2항에 따라 사용승인 신청시 일괄신고 가능 여부
답변 :건축법 시행령」 제3조의2 제2호에 따르면 기둥을 세 개 이상 변경하는 것은 대수선에 해당하며, 건축허가를 득하여 건축 중인 건축물에 대수선에 해당하는 사항이 발생하는 경우에는 같은법 시행령 제12조 제3항 제3호에 따라 사용승인 신청시에 일괄신고가 가능한 것이나, 이에 해당하는지 여부는 허가권자가 설계도서 및 건축법령 등을 종합적으로 검토하여 판단할 사항입니다."
번호 114,고시원 면적 개정에 따른 용도변경 소급여부,"질의 : 2011.9.30일부터 고시원 면적 개정(500㎡이상 숙박시설) 시행되는데, 2009.7.16일 고시원 용도 신설 이전, (고시원) 소방완비증명서 발급받은 건축물(건축물대장상 용도는 교육연구시설,단독주택,공동주택 등)이 2011.9.30일이후 용도변경신청시 2011.9.30일부터 고시원 면적 개정(500㎡이상 숙박시설) 시행되는데, 이와 관계없이 위 건축물 중 500㎡이상 1,000㎡미만의 건축물의 경우 제2종근린생활시설(고시원)으로 소급적용하여 용도변경 가능여부
답변 :건축법 시행령 개정(2009.7.16)이전부터 고시원으로 허가받아 사용하고 있는 면적 500㎡ 이상 1,000㎡ 미만으로 고시원 시설기준에 맞는 경우라면 시행령 개정〔2011.6.29(시행 9.30)〕이후에도 “제2종근린생활시설”로 건축물 대장 변경이 가능합니다."
번호 113,고시원 용도변경 및 이행강제금 부과 관련,"질의 : 2009.7.16일 고시원 용도 신설 이전, (고시원) 소방완비증명서 발급받은 건축물(건축물대장상 용도는 교육연구시설,단독주택,공동주택 등)이 현재 용도변경신청하여 용도변경 추인 처리시 이행강제금 부과여부
답변 :건축법 시행령 개정(2009.7.16) 이전부터 고시원으로 허가받아 사용하고 있고 고시원 시설기준에 적합한 경우라면 건축물 대장상의 용도(교육연구시설, 공동주택 등)와 관계없이 적법한 것으로 이행강제금 부과 대상이 아닌 것으로 판단합니다."
