id,질문,본문
80,제1종 전용주거지역의 건축물 높이 산정기준에 대한 질의,"1. 안녕하십니까? 귀하께서 응답소로 신청하신 민원에 대하여 다음과 같이 답변드립니다. 2. 귀하의 민원사항은 제1종 전용주거지역의 건축물 높이 산정기준에 대하여 질의하신 사항으로 이해됩니다 3. 「서울특별시 건축조례」 제33조(가로구역별 건축물 높이제한) 제1호에서 '제1종전용주거지역 안에서의 주거용 건축물의 층수는 2층이하로서 높이 8미터 이하(다음 각목의 어느하나에 해당하는 경우 제외)로 하며, 주거용 이외의 용도에 쓰는 건축물(주거용과 다른 용도가 목합된 건축물을 제한한다)의 높이는 2층이하로서 11미터 이하로 한다' 라고 규정하고 있는 바, 4. 위 규정의 '건축물의 최고높이 산정'은 전면도로와 당해 대지의 지표면에 고저차가 있더라도 당해 대지의 지표면을 기준으로 적용함을 알려드립니다. 5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 주택실 건축기획관 건축기획과(☎ 02-2133-7114)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다.  끝."
81,2025년 전기차 보조금 공동명의 조건상 가족 범위에 대한 문의,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 2025년 전기차 보조금 공동명의 조건상 가족 범위에 대한 문의에 관한 것으로 판단 됩니다. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. 민법 제779조에 따른 가족으로 범위를 정합니다. 민법 제779조(가족의 범위) ① 다음의 자는 가족으로 한다. 1. 배우자, 직계 혈족 및 형제자매 2. 직계혈족의 배우자, 배우자의 직계혈족 및 배우자의 형제자매 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 기후환경본부 친환경차량과(☎ 02-2133-3644)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
82,"북아현 과선교(도로교, 녹지교) 설치공사 진행 요청","1. 안녕하십니까? 귀하께서 응답소(서대문구청장에게바란다)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 2. 귀하의 민원내용은 북아현 과선교(도로교, 녹지교) 설치공사 진행 요청에 관한 것으로 판단 됩니다. 3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. - 우리 구에서 시행 중인 ""북아현 과선교(도로교, 녹지교) 설치공사""는 당초 2023년 2월 ~ 2025년 2월로 공사기간 계획하였으나, 중앙여중 삼거리 연결도로 개설(L=255m, B=12~20m)과 임시도로 2개소 설치 및 공사 시행 중 현장여건 변화(추가공종 발생) 등에 따라 공사기간이 추가 소요되었으며, - 현재 공사 중단 사유에 대하여, 도로교 거더의 안전성에 대한 검토를 진행하고 있음을 알려드립니다. - 위와 같은 불가피한 사정으로 인해 당초 계획 공사기간에 맞추어 공사를 조속히 완료하지 못하여 주민들의 통행에 큰 불편을 드려 송구하다는 말씀을 드리며, 교량의 안전성 보완 및 공사재개 시행의 검토가 완료되는 대로 인근 지역주민분들께 공사현황에 대하여 홍보토록 하겠습니다. 4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 서대문구 안전건설국 도로과 (☎ 02-330-1760)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다.  끝."
83,노원구 서울테크노파크 친친어린이집 폐원 관련 문의 및 제안,"안녕하십니까? 귀하께서 응답소를 통해 제출하신 민원에 대해 다음과 같이 답변드립니다. 귀하께서는 현재 자녀가 재원중인 직장어린이집이 우수한 보육 환경을 갖추고 있음에도 사업성을 이유로 폐지되는 점을 안타깝게 생각하여 해당 어린이집을 노원구의 영유아들이 이용하거나 국공립어린이집으로 운영하는 방안을 제안하신 것으로 판단됩니다. 서울테크노파크는 영유아보육법 제14조 및 같은법 시행령 제20조에 따른 직장어린이집 설치의무 사업장에 해당하지 않으므로, 해당 어린이집의 설치 및 운영에 관한 사항은 사업장에 재량의 범위가 인정됩니다. * 영유아보육법 시행령 제20조 ① 법 제14조제1항에 따라 사업주가 직장어린이집을 설치하여야 하는 사업장은 상시 여성근로자 300명 이상 또는 상시근로자 500명 이상을 고용하고 있는 사업장으로 한다. 한편 현재 국공립어린이집의 설치는 해당 자치구에서 지역의 보육수요 및 정원충족률을 감안하여 국공립어린이집 설치 여부에 대한 검토 후 신청하면 우리 시 국공립어린이집 확충심의위원회의 승인을 거쳐 추진하고 있습니다. 이에 관할 노원구청 담당부서에 확인한 결과, 해당 어린이집을 국공립어린이집으로 전환하는 사항은 부지의 입지조건, 보육수요, 예산 등 종합적인 검토가 필요하며, 즉각적인 확충은 어려운 것으로 파악되었습니다. 민원인님께서 아이가 향후 어린이집을 이용하지 않아도 됨에도 불구하고 위와 같이 제안해 주신 점에 대해 뜻깊게 생각하며, 즉시 반영되지 못한 부분은 널리 양해 바랍니다. 추가 문의사항이 있을 시 서울시 영유아담당관(02-2133-5089)에 연락 주시면 친절하게 설명 드리도록 하겠습니다. 감사합니다."
84,지하철 역사 내 엘리베이터 닫힘 버튼 활성화 요청,"안녕하십니까? 귀하께서 고객의소리를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 “지하철 역사 내 엘리베이터 닫힘 버튼 활성화”에 관한 것으로 판단되며, 귀하의 질의에 대해 검토한 의견은 다음과 같습니다. 가. 먼저 엘리베이터 이용에 불편을 드려 진심으로 사과드립니다. 현재 우리 공사에서는 ‘교통약자 이동편의증진법’을 준용하여 엘리베이터를 설치 및 운영 중입니다. 나. 우리 공사에서는 거동이 불편한 장애인등 교통약자가 엘리베이터 탑승 중 이를 인지하지 못한 승객이 닫힘 버튼 사용으로 인한 안전사고 발생 사례, 서울 소재 장애인 단체의 의견수렴 결과를 토대로 엘리베이터의 닫힘 버튼을 비활성화하여 운영 중인 점 이해하여 주시기 바랍니다. 다. 다만 이용자 불편을 조금이라도 줄이고자 층 도착 시 도어 열림시간 조정이 가능한 호기에 대해 승강기 문이 닫히는 중 다시 열리는 경우, 문 닫히는 시간을 5~10초로 설정하여 운영하고 있으니 참고하여 주시기 바랍니다. 라. 교통약자의 기준에 맞춰 엘리베이터가 운영돼 답답하고 불편함을 느끼실 수 있는 마음 충분히 공감하며 진심으로 사과드립니다. 모두가 안전한 도시철도시설 이용을 위해 교통약자를 우선 배려하는 너그러운 마음으로 양해 부탁드립니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 서울교통공사 승강기사업소(☏ 02-6110-4947)에 연락해 주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
85,공예박물관 야간조명 소등 요청,"안녕하십니까? 선생님께서 응답소(민원상담)를 통해 우리 박물관 개방시간 이후 야간 경관조명 소등을 통한 에너지 절약 검토를 제안해주셨습니다. 국가적 기후위기 대응 및 에너지절약 측면에서 선생님께서 제안해주신 불필요한 야간 경관조명은 소등하여야 한다는 의견에 공감합니다. 「서울특별시 빛공해 방지 및 좋은 빛 형성 관리 조례」제24조(점등 및 소등 운영)에서는 ""공공청사의 장은 청사 주변에 설치한 조명에 대해 야간 환경과 보안성, 주거지 사이의 거리, 지역특성 등을 고려하여 점등 및 소등시간을 정하도록 하면서 23시 이내에 소등""하도록 규정하고 있습니다. 우리 서울공예박물관에서는 선생님께서 말씀하신 에너지 절약과 함께 야간 전시 관람, 주민 통행 안전 등을 종합적으로 고려하여 22시에 소등하고 있습니다. 또한, 관내 모든 경관조명을 LED 조명으로 설치하고 심야시간에는 공원 보안등 50%만 점등하여 에너지 절약을 추진하고 있습니다. 참고로, 우리 박물관은 시민의 여가문화 확대 및 문화향유 증진을 위해 연중 매주 금요일 21시까지 야간 개관을 시행해 오고 있습니다. 이에 따라 관람객들의 안전 귀가 지원과 평상 시 담장이 없는 박물관의 마당과 주변지역을 여러 목적으로 통행하는 다수 지역 주민들의 안전을 고려하여 22시에 소등한다는 점 양해해 주시기 바랍니다. 충분히 만족스러운 답변이 되길 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 서울공예박물관 총무과 (☎ 02-6450-7034)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
86,인도의 가드레일 설치관련해서 민원을 신청,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 선생님의 민원내용은 신축공사현장 보행자 안전 확보 요청으로 판단 됩니다. 현장 방문하여 확인한 결과 해당 민원일대는 소공동 부영호텔 신축공사 현장 일대로, 방호울타리 교체 시 신축공사 진행 중 파손 우려가 있으므로, 신축 공사현장과 준공 일정 등 협의 후 검토예정임을 안내드립니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 중구 안전건설교통국 도로시설과(☎ 02-3396-6115)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
87,모아타운 사업구역 제외 기준 및 시기 문의,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 '목4동 724-1번지 일대 모아타운 사업구역 제외 기준 및 시기'에 관한 것으로 판단 됩니다. 1. 우리 구정에 많은 관심과 애정을 가져주신 감사의 말씀을 드리며, 귀하께서 접수하신‘목4동 724-1번지 일대 모아타운 사업구역 제외 기준 및 시기’관련 민원사항에 대하여 다음과 같이 알려드립니다. 2. 목4동 724-1번지 일대 모아타운은“서울시 모아타운 대상지 선정 공모 공고”에 따라 ’23년 3월 주민들로부터 모아타운 대상지 공모 신청 동의서(동의요건 : 사업예정지별 토지등소유자의 30% 이상 동의)가 우리 구로 제출되어 ’23년 7월 서울시 모아타운 대상지로 선정되었으며, 현재 모아타운 관리계획 수립 중(목4동 728-1번지 일대)으로 서울시 통합심의 이후 모아타운 관리계획 승인·고시 예정입니다. 3. 모아타운 관리계획 수립 중인 구역(모아타운 관리계획 수립에 대한 승인·고시 전)은 사업예정구역별 토지등소유자 25% 또는 토지면적 1/3 이상이 반대하는 경우 서울시 모아타운 대상지 철회 및 해제기준에 따라 사업시행 구역 제외 검토 대상에 해당됨을 안내드립니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 양천구 도시주택국 재건축사업과(☎ 02-2620-4478)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
88,어린이보호구역 불법주차단속 철저 요청,"안녕하십니까? 서울시에서 우리구로 이첩된 응답소(시장에게바란다) 민원에 대한 검토결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 ""어린이보호구역 불법주차단속 철저 요청""에 관한 것으로 판단됩니다. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다. 먼저 어린이보호구역 불법주차단속과 관련하여 불편을 겪으신 점에 대해 진심으로 깊은 사과를 드립니다. 우리구는 「도로교통법」 제32조, 제33조, 제34조에 따라 주정차 금지 구역에 대하여 단속을 실시하고 있으나 부족한 주차공간과 지역상권활성화 등 각 지자체별 현장상황에 따라 탄력적으로 불법주정차단속 추진계획(단속방법, 단속기준 등)을 수립하여 불법주정차에 대해 단속담당공무원의 현장단속(평일 07시부터 22시)과 고정형 CCTV를 활용한 단속(평일 07시부터 22시, 토·공휴일 09시부터 19시) 등을 하고 있으며, 어린이보호구역의 경우 어린이보호구역 운영시간인 08시부터 20시 이후에는 일반단속에 포함되어 불법주정차 신고 시 일반 과태료 부과 등을 하고 있습니다. 다만 부족한 주차공간 등을 감안하여 평일 주택가 이면도로는 단속을 상시 유예, 주말에는 독산로와 주택가 등의 이면도로 대부분 구간을 유예하고 있으니 이 점에 대해서는 양해하여 주시기 바랍니다. 귀하께서 요청하신 어린이보호구역 불법주정차 차량에 대해서는 단속대상에 해당하는 차량일 경우 과태료 부과 등 민원처리에 철저를 기하도록 하겠습니다. 아울러 귀하께서 불법주정차 신고 과정에서 겪으신 불편사항에 대해서는 해당부서에 민원내용을 전달하고 교육을 통해 향후 동일한 불편사항이 발생하지 않도록 하겠습니다. 다시 한번 귀하께 민원처리과정에서 불편을 겪으신 점에 대해 죄송하다는 말씀을 드리며, 추가적인 문의사항이 있으실 경우 서울특별시 금천구 민원감사담당관(☎ 02-2627-2264)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
89,바로 녹색 결제 시스템에 대해 문의 겸 개선사항,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. - 영등포구시설관리공단에 많은 관심과 애정을 주심에 감사드리며, 문의하신 사항에 대해 답변드립니다. - 현재 우리 구에서 관리하는 공영주차장에서는 다자녀 감면을 제외한 녹색 결제 시스템은 정상적으로 사용이 가능합니다. 다만, 다자녀 감면은 서울시 공영주차장에서만 적용되므로, 자치구 내 주차장에서는 해당 할인이 적용되지 않음에 양해 부탁드립니다. - 따라서, ""바로녹색결제 대상 차량""으로 조회된 경우, 해당 화면은 일반적으로 녹색 결제 시스템을 이용하는 고객님들을 위한 정상 안내문구로, 다자녀 감면을 제외한 녹색 결제 시스템은 정상적으로 이용하실 수 있습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 영등포구 시설관리공단 주차사업부(02-2630-2963)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
90,상습 불법주차 근절대책 수립 요청,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원 내용은 전에 문의하신 “상습 주정차위반 지역에 관한 단속대책 수립 요청”으로 이해됩니다. 먼저 귀한 시간 내셔서 의견 내주신 점 감사의 말씀 드립니다. 말씀해주신 지역의 주말 상습 주정차위반을 어떻게 해소할 수 있을지 정책적으로 적극 검토하도록 하겠습니다. 현재 우리 구는 순찰이 아닌 민원 신고에 의해 불법주정차 단속을 시행하고 있습니다. 단속 직원의 현장 도착 시점에 불법 주차로 확인한 차량에 대하여 과태료 부과 및 계도 조치하고 있으며, 운전자 탑승 중인 정차 차량은 즉시 이동 조치하고 있습니다. 앞으로 해당 지역은 조금 더 관심을 가지고 귀하의 불편이 최소화되도록 현장 단속을 강화하여 올바른 주정차 문화를 확립해 나가겠습니다. 번거로우시더라도 불법 주차로 불편 사항이 발생할 경우 다산콜센터(☎02-120)나 주차정책과(☎2147-3192)로 신고하여 주시면 신속하게 불편사항을 처리하겠습니다. 귀하의 가정에 행운과 평안이 깃들길 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 송파구청 주차정책과(☎2147-3211)로 연락주시면 친절히 안내하겠습니다. 감사합니다."
91,청년월세지원 사업 신청 대상자 관련 문의,"안녕하십니까? 귀하께서는 응답소를 통해 민원으로 청년월세지원 사업 신청 대상자에 공공임대주택 거주자가 제외되는 이유 및 공공임대주택 거주자는 신청 자격이 없는 반면 민간임대주택 거주자는 제외되지 않는 것은 차별이므로 이에 대한 설명을 요청하셨습니다. 이에 대하여 답변드리겠습니다. 우리시는 시민의 주거 관련 삶의 질 향상을 위해 주택임대, 주택금융지원, 주택개량지원, 주거복지 등의 주거정책을 시행하고 있습니다. 공공임대주택은 무주택자에게 저렴한 비용으로 주거안정을 누릴 수 있도록 소득 계층별로 다양한 유형의 임대주택을 공급하는 사업이고, 청년월세지원은 서울 거주 무주택 청년 1인 가구 중 소득, 재산 등 정한 요건을 충족하는 청년들에게 월세지원을 하는 사업입니다. 이 두 사업 모두 시민의 주거 안정 및 지원을 목적으로 하고 있습니다. 복지정책을 계획ㆍ추진하는 경우 사회보장기본법 제26조에 따라 사업의 타당성, 기존제도와의 관계, 사회보장 전달체계에 미치는 영향 및 운영 방안 등에 대해 사회보장협의회를 통해 보건복지부 장관과 협의ㆍ조정하여야 합니다. 이때, 기존제도와의 관계를 검토하면서 지원대상자에 대한 유사급여 및 서비스 여부, 사업시행에 따른 중복 및 편중 효과 등을 확인합니다. 청년월세지원 사업 역시 상기한 협의 기준ㆍ과정을 통하여 사업을 시행하게 된 것으로, 그 과정에서 공공임대주택 거주자의 경우 주거 안정 지원사업 중복지원으로 판단, 제외되었다고 사료됩니다. 동일한 관점에서 정부(국토부) 청년월세 한시 특별지원 사업도 공공임대주택 거주자를 지원 대상에서 제외하고 있다는 말씀을 드립니다. 한편, 민간임대주택 거주자는 우리시가 제공하는 주거지원의 직접적 수혜자는 아니므로 청년월세지원 신청대상자의 유사급여 및 서비스 중복 수혜가 문제되지 않습니다. 민간임대주택은 민간에 의하여 건설되었기 때문임을 양해하여 주시기 바랍니다. 이와 관련 추가적인 문의사항이 있을 경우 우리시 주택정책과(☎ 02-2133- 7704)에 연락주시면 친절하게 안내해 드리도록 하겠습니다. 감사합니다."
92,서울시 스마트팜 지원 정책과 관련한 내용,"○ 안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원(접수번호: 20250106900386)에 대한 검토 결과를 다음과 같이 알려드립니다. ○ 귀하의 민원내용은 ""서울시 스마트팜 지원 정책""과 관련한 내용으로 판단 됩니다. ○ 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. ○ 서울시에서 추진하고 있는 '도심형 스마트팜'의 경우 희망 자치구와 협력하여 기후변화 등에 영향이 없는 미래농업을 배우고 체험할 수 있는 복합문화공간으로써 조성 운영되고 있으며, 농업인을 위한 스마트팜 조성지원 등의 경우 농림축산식품부에서 추진하고 있는 스마트팜 ICT 융복합확산 사업 등을 통한 농업시설 현대화 등을 지원하고 있으나, 지원시설 규모(3,000㎡), 부지(소유자 혹은 12년 이상 장기임대 가능 여부), 자부담 등의 조건으로 인해 신청농업인이 많지 않으며, 향후 농림축산식품부 사업계획에 따라 별도 사업신청('25.6~7월)을 받을 예정이오니 사업예정지 관할구청으로 문의하여 주시기 바랍니다. ○ 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 민생노동국 농수산유통과(☎ 02-2133-4459)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
93,자녀출산 무주택 가구 주거비 지원 요건 변경에 대한 민원,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하께서는 내년도 시행하는 '자녀출산 무주택가구 주거비 지원' 사업과 관련하여 지난 4월 발표와 달리 신청자격이 변동된 사유에 대해 문의주셨습니다. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. '자녀출산 무주택가구 주거비 지원' 사업은 아이를 낳은 출산가구의 주거비 부담을 완화하기 위한 취지로 설계되었으며 지난 4월 사업을 발표하고 내년도 사업실행을 위해 보건복지부 사회보장제도 신설협의 등 사전절차를 추진하였습니다. 보건복지부와 사회보장제도 신설협의 과정에서, 지난 5~6월 신생아 특례대출 대상 확대 및 신혼부부 임차보증금 이자 지원 소득기준 완화 등 정부 및 서울시의 출산가구 대상 주거지원 사업이 대폭 확대됨에 따라 보건복지부에서 '자녀출산 무주택가구 주거비 지원' 사업에 대해 주거 취약계층 중심으로 설계를 변경할 것을 요청한 바 있습니다. 이에 서울시는 당초 임차주택의 요건을 전세보증금 7억 이하 또는 월세 268만원 이하에서 전세보증금 3억원 이하 또는 월세 130만원 이하로 내리고 소득기준 또한 기준 중위소득 180% 이하를 신설하였으며 유사사업 중복지원 불가 등으로 사업설계를 변경하게 되었습니다. 이와 같은 조정 결과 지난 12월 2일 사회보장제도 신설협의가 최종 완료되어, 내년도 사업시행이 확정되었습니다. 당초 설계대로 사업시행을 기대하셨던 출산 가정에서는 실망이 크실 것으로 사료되오며 이와 관련해 죄송하다는 말씀드립니다 사회보장제도 신설협의 결과 변경된 내용은 1월 중 보도자료 등을 통해 상세히 안내가 될 예정이며 몽땅정보 만능키를 통해서도 관련 내용 확인하실 수 있습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 여성가족실 저출생담당관(☎ 02-2133-5025)으로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
94,국립서울정신병원옆 주차장부지 관련 문의,"○ 안녕하십니까? 항상 구정발전에 힘써주시는 귀하께 감사드리며, 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. ○ 귀하의 민원내용은 중곡동 29-1번지(舊소아청소년진료소부지) 「중곡동 공영주차장 복합개발사업」진행사항 여부에 관한 것으로 판단되며 다음과 같이 답변드립니다. ○ 본 사업은 공영주차장 및 주민편의시설 복합개발을 통해 중곡동 일대 주차난 해소 및 보행일상권을 확보하고자 추진하는 사업으로 당초 계획보다 다소 지연되었으나, ○ 현재 타당성조사 및 중앙투자심사('24.10월) 등 사전절차를 거쳐 기본 및 실시설계를 위한 설계공모 중에 있음을 알려드리며 적극적으로 사업을 추진하여 신속히 조성될 수 있도록 하겠습니다. ○ 아울러, 현재 대상지는 복합건축물 착공 전 지역 내 주차난을 해소하고자 임시 공영주차장을 조성하여 운영('24.4월 개장)하고 있는 점 참고하여 주시기 바랍니다. ○ 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 광진구 미래도시국 도시계획과(☎02-450-7682)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 귀하의 가정에 건강과 행복이 가득하시길 기원합니다. 감사합니다."
95,서울시의 경희궁 복원을 요청,"안녕하십니까? 귀하께서 응답소(시장에게바란다)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하께서 서울시의회로 문의하신 민원은 서울시의 경희궁 복원을 요청하시는 것으로 이해되며 아래와 같이 답변드립니다. 요청하신 내용에 대해 서울시는 ‘경희궁지 내부와 국립기상박물관·서울시교육청 부지, 돈의문박물관 마을 등을 역사문화 공원화하는 작업을 진행 중이며, 경희궁 추가 복원을 위해서는 공공시설 이전, 사유지 매입이 필요하고, 막대한 복원 예산을 확보해야 하는 만큼 장기 과제로 검토될 수 있도록 노력하겠다’는 입장인 것으로 알고 있습니다. 서울시의회는 「지방자치법」에 따라 서울시의 조례, 예산 및 결산 등에 대한 의결권과 서울시 행정사무에 대한 조사권 및 감사권을 가지고 있을 뿐, 행정사무와 예산을 편성하는 권한은 서울시에만 있음을 알려 드립니다. 다만, 다음 회기 중 소관 부서인 문화본부 업무보고에서 경희궁 복원의 필요성과 복원 사업의 추진 가능성 등에 대한 질의를 통해 서울시의 공식 입장을 확인할 수 있을 것으로 보이며, 향후 서울시가 관련 사업과 예산을 편성하여 서울시의회에 제출할 경우, 귀하께서 요청하신 내용을 포함해 각계의 다양한 의견을 수렴하여, 의결하는 데 반영할 수 있을 것입니다. 추가적인 문의사항이 있으실 경우 서울특별시의회사무처 문화체육관광전문위원실 (☎ 02-2180-8116)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
96,개인 소유 상가 건물의 승강기 전면 교체 시 교체비용을 지원 요청,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 개인 소유 상가 건물의 승강기 전면 교체 시 교체비용을 지원해 달라는 사항으로 판단 됩니다. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. 「승강기 안전관리법」제32조 및 「승강기 설치검사 및 안전검사에 관한 운영규정」부칙 제2조에 따라 설치검사를 받은 날부터 21년이 지나 정밀안전검사를 세 번째 받는 승강기는 승강기안전부품을 추가 설치하여야 하며, 엘리베이터에 설치하여야 하는 승강기안전부품은 ①승강장문 어린이 손끼임 방지수단, ②승강장문 이탈방지장치, ③승강강문 비상가이드, ④카문 어린이 손끼임방지수단, ⑤카의 상승과속방지수단, ⑥카의 개문출발방지수단, ⑦브레이크시스템, ⑧자동구출운전수단입니다. 해당 규정은 승강기 안전사고 방지와 관련한 부품 의무 설치에 대한 규정이며, 현재 「승강기 안전관리법」에는 승강기 전면교체에 대한 의무규정은 없음을 알려드립니다. 아울러, 개인 소유 상가 건물의 경우 승강기 전면교체시 일시에 많은 비용이 소요되어 부담이 되신다는 의견은 충분히 공감하나, 현재 「승강기 안전관리법」 및 우리 시 승강기 관련 조례에는 승강기 전면 교체비용 지원에 관한 사항이 없는 상태이며, 정부에 관련 제도 개선을 요청하는 방안 등에 대해 적극 검토하도록 하겠습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 주택실 건축기획관 건축기획과(☎ 02-2133-7276)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
97,서울형 키즈카페 노쇼제도에 대한 기준 개선 요청,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 ‘서울형 키즈카페 노쇼제도에 대한 개선 요청’에 관한 것으로 판단 됩니다. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. 서울형 키즈카페는 2024.10.8일자로 시스템을 개편하여, 예약 신청 시스템상 이용 시작시간 30분 경과시 노쇼로 처리되도록 운영하고 있습니다. 이는 노쇼로 발생한 빈자리를 다른 시민들이 바로 예약하여 이용할 수 있도록 하고자 운영되는 사항입니다. 다만 말씀 주신 경우처럼, 향후 이용 시작 시간 30분 내에 유선상으로 지각예정임을 알려주시는 경우 노쇼처리를 하지않는 방안을, 내년 상반기 중 반영할 수 있도록 적극 검토하겠습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 여성가족실 아이돌봄담당관(☎ 02-2133-4812)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
98,서울식물원 호수공원에 설치된 분수를 음악 분수로 만들어 주민들의 만족도를 높이고 관광객을 유치할 수 있도록 건의,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 호수원에 설치된 분수가 빈약하고 사용하지 않는 것으로 알고있는데, 이 분수를 추가적으로 보수하여 음악분수를 설치 할 수 있는 지 여부에 관한 것으로 판단 됩니다. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다 서울식물원 호수 중앙에 설치된 원형분수대는 서울특별시 수경시설 운영 계획에 따라 매년 5월 1일부터 9월 30일까지 정상 운영하고 있습니다. 따라서 추가적인 음악분수대 설치는 현재로써는 검토하기 어려우며. 향후 분수대 시설 재조성 필요 시 요청하신 내용에 대하여 적극 검토하도록 하겠습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 서울식물원 시설운영과(☎ 02-2104-9731)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
99,자전거도로 위 화살표 진행방향 표시로 인해 일방통행으로 오해하여 사고가 발생하는 경우가 있음. 따라서 자건거도로 위 화살표를 삭제하여 안전한 보행이 가능하도록 요청.,"안녕하십니까? 먼저 구정에 대한 적극적인 관심에 감사를 드립니다. 고객님께서 신청하신 응답소 민원에 대한 검토 결과를 다음과 같이 답변드립니다. 고객님의 민원은 군자교~어린이대공원역~구의사거리 구간 자전거 도로에 진행방향 표시로 인한 불편으로 개선 요청하신 것으로 보입니다. 2024년 자전거 도로 관련 공사는 마무리 되어 현장 확인 후 2025년에 자전거도로 정비 사업 추진 시 불편사항을 개선하도록 관련 부서와 협의하고 검토하겠습니다. 만족스러운 답변이 되었기를 바라며,추가적인 문의사항이 있으실 경우 광진구 교통행정과 (☎ 02-450-7924)에게 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
